TransactionID,InvestmentID,Type,Quantity,TransactionDate
96,1027,Buy,5,2022-12-28
97,1339,Sell,99,2022-01-28
98,780,Buy,27,2022-06-30
99,1156,Buy,1,2022-03-02
100,507,Buy,82,2023-05-12
101,1154,Buy,85,2023-03-19
102,1974,Sell,91,2023-10-06
103,94,Buy,55,2020-03-19
104,1375,Buy,86,2020-10-26
105,1158,Buy,67,2021-11-25
106,1398,Sell,24,2021-08-05
107,1461,Sell,95,2024-01-03
108,1627,Buy,21,2019-12-22
109,697,Sell,93,2022-05-06
110,1,Buy,3,2021-10-29
111,647,Sell,83,2019-08-18
112,1529,Sell,45,2021-08-08
113,390,Sell,32,2019-09-24
114,819,Sell,55,2022-08-19
115,182,Sell,62,2019-12-03
116,1437,Buy,31,2021-02-23
117,23,Sell,52,2022-10-12
118,1457,Sell,59,2021-04-14
119,859,Buy,43,2022-09-03
120,867,Buy,80,2020-01-05
121,1166,Sell,19,2021-10-07
122,629,Sell,77,2021-01-16
123,1569,Buy,36,2023-09-28
124,410,Sell,12,2021-03-12
125,506,Sell,87,2024-03-28
126,1182,Buy,7,2023-09-29
127,594,Sell,37,2024-02-24
128,1653,Buy,31,2022-01-31
129,911,Sell,70,2022-10-04
130,1816,Sell,48,2022-05-27
131,1336,Buy,26,2021-03-19
132,1170,Buy,86,2021-07-14
133,706,Buy,25,2021-04-25
134,1830,Buy,79,2024-01-15
135,1074,Sell,91,2021-06-30
136,153,Buy,65,2021-07-20
137,1168,Buy,48,2020-08-14
138,1450,Buy,74,2020-04-27
139,270,Sell,28,2020-02-20
140,834,Sell,70,2021-04-27
141,1492,Buy,65,2019-12-04
142,261,Sell,13,2024-04-24
143,740,Buy,35,2022-09-13
144,603,Buy,28,2020-05-15
145,1491,Sell,58,2023-02-18
146,1088,Buy,79,2021-01-18
147,1660,Buy,84,2021-09-17
148,1926,Sell,51,2023-07-20
149,1488,Sell,17,2020-08-07
150,799,Sell,34,2021-10-14
151,545,Buy,7,2024-02-03
152,303,Sell,58,2023-04-12
153,1968,Sell,56,2021-12-05
154,1423,Buy,68,2022-02-21
155,1227,Sell,82,2021-01-12
156,1247,Buy,90,2022-10-13
157,1749,Buy,75,2023-04-06
158,1164,Buy,43,2022-05-07
159,191,Sell,40,2020-01-17
160,206,Sell,94,2024-02-12
161,1906,Buy,19,2021-08-11
162,1255,Buy,30,2022-05-19
163,1995,Sell,14,2022-01-13
164,582,Buy,46,2021-06-28
165,1461,Buy,1,2022-01-23
166,186,Sell,39,2019-07-09
167,827,Sell,59,2020-08-19
168,142,Sell,3,2022-06-20
169,760,Buy,4,2023-03-22
170,1013,Buy,41,2022-06-14
171,1125,Buy,11,2022-07-14
172,708,Sell,60,2022-02-23
173,361,Buy,46,2019-12-18
174,1744,Sell,91,2021-09-08
175,1756,Sell,14,2019-08-01
176,1118,Sell,67,2019-04-29
177,355,Sell,25,2022-03-16
178,1840,Buy,28,2019-08-12
179,82,Buy,29,2024-03-11
180,362,Sell,36,2024-01-11
181,939,Buy,76,2020-11-02
182,1213,Sell,21,2021-01-14
183,1955,Sell,78,2023-03-30
184,861,Sell,18,2023-06-06
185,1795,Buy,77,2021-08-19
186,1304,Buy,83,2024-02-13
187,754,Sell,89,2021-06-05
188,754,Buy,2,2023-10-07
189,1257,Buy,78,2019-10-27
190,962,Buy,39,2023-07-20
191,1922,Buy,56,2019-07-25
192,354,Sell,20,2023-04-25
193,1230,Sell,83,2020-10-21
194,1792,Sell,40,2020-07-05
195,652,Sell,3,2022-06-14
196,1765,Sell,48,2020-02-14
197,1047,Sell,67,2023-10-23
198,1474,Buy,5,2020-05-04
199,145,Sell,2,2022-08-07
200,1848,Buy,47,2023-04-14
201,1783,Buy,99,2019-09-07
202,1295,Sell,45,2022-03-22
203,1781,Buy,45,2021-04-04
204,718,Sell,53,2022-02-18
205,649,Sell,71,2023-09-28
206,1105,Sell,9,2022-01-25
207,1701,Buy,4,2019-12-16
208,594,Sell,66,2023-10-13
209,1783,Buy,21,2021-01-21
210,653,Sell,28,2023-07-16
211,1350,Sell,60,2023-11-16
212,233,Buy,27,2020-04-11
213,670,Buy,30,2023-01-06
214,590,Sell,96,2022-10-24
215,860,Buy,76,2022-02-06
216,1921,Buy,2,2021-05-19
217,1101,Buy,15,2024-04-26
218,1657,Buy,83,2020-08-06
219,1278,Buy,93,2022-10-06
220,1919,Sell,14,2022-09-06
221,683,Buy,55,2021-01-03
222,356,Buy,61,2022-10-07
223,1902,Sell,3,2022-02-02
224,1581,Buy,38,2023-04-06
225,1189,Sell,25,2021-09-22
226,1566,Sell,34,2022-02-03
227,1934,Sell,94,2022-08-17
228,848,Sell,95,2020-01-28
229,99,Sell,23,2022-09-15
230,38,Buy,8,2023-01-09
231,1427,Buy,93,2021-01-23
232,1084,Buy,14,2023-05-23
233,1196,Sell,84,2019-11-01
234,1217,Sell,68,2019-08-11
235,57,Sell,63,2023-11-06
236,1942,Buy,69,2021-02-15
237,422,Sell,5,2021-11-03
238,1193,Sell,83,2020-07-26
239,1359,Sell,8,2021-02-20
240,1703,Buy,49,2023-08-08
241,647,Buy,2,2022-02-13
242,1424,Buy,71,2020-01-16
243,874,Buy,31,2020-10-06
244,541,Sell,78,2024-03-10
245,1852,Sell,87,2023-09-26
246,1878,Buy,14,2022-04-23
247,533,Buy,36,2023-10-25
248,497,Sell,57,2022-09-05
249,1623,Sell,15,2021-03-28
250,1511,Buy,79,2021-11-10
251,812,Buy,28,2021-03-02
252,59,Sell,14,2022-10-06
253,1749,Sell,24,2020-09-12
254,1563,Sell,77,2021-08-08
255,561,Sell,20,2021-03-28
256,1578,Buy,32,2024-01-30
257,1882,Sell,89,2021-10-12
258,1390,Sell,5,2020-12-18
259,16,Buy,39,2021-09-24
260,1668,Sell,31,2022-03-07
261,1178,Buy,28,2020-06-11
262,202,Sell,24,2021-12-28
263,1614,Sell,29,2019-10-01
264,536,Sell,27,2019-12-01
265,713,Buy,97,2022-05-03
266,344,Sell,17,2019-11-20
267,328,Sell,68,2022-10-25
268,1462,Buy,74,2021-04-29
269,1972,Buy,81,2021-04-18
270,1572,Sell,19,2020-05-05
271,1417,Sell,35,2020-09-18
272,614,Buy,63,2024-01-12
273,1927,Buy,92,2021-08-01
274,1862,Buy,26,2021-02-26
275,1584,Buy,53,2021-02-08
276,494,Sell,59,2019-07-14
277,1263,Sell,10,2022-05-01
278,1320,Sell,37,2021-12-05
279,1997,Buy,11,2020-06-21
280,1466,Buy,81,2019-07-14
281,906,Sell,29,2019-12-21
282,1975,Sell,29,2023-04-24
283,1821,Sell,10,2020-03-23
284,1647,Sell,88,2019-05-06
285,373,Buy,93,2023-06-27
286,1788,Sell,11,2019-11-21
287,448,Buy,97,2019-06-19
288,807,Buy,73,2022-10-28
289,1899,Buy,51,2022-01-19
290,1176,Sell,64,2020-03-30
291,678,Sell,29,2023-06-19
292,786,Sell,24,2022-03-30
293,110,Buy,3,2023-05-03
294,1819,Sell,55,2023-12-09
295,1423,Sell,33,2022-11-30
296,982,Sell,84,2023-11-06
297,457,Sell,52,2019-07-18
298,207,Sell,42,2023-05-12
299,856,Sell,8,2023-09-26
300,89,Sell,80,2023-04-27
301,483,Buy,40,2020-04-04
302,627,Buy,34,2024-03-04
303,623,Sell,39,2022-03-27
304,889,Buy,91,2020-04-29
305,704,Buy,91,2022-10-02
306,1054,Buy,57,2021-07-24
307,1550,Sell,21,2024-03-03
308,494,Buy,54,2022-01-15
309,1388,Sell,70,2021-08-26
310,769,Sell,98,2022-05-17
311,740,Buy,58,2019-09-21
312,1970,Buy,9,2024-03-03
313,723,Sell,48,2019-10-06
314,893,Sell,86,2019-12-07
315,43,Sell,7,2022-06-03
316,24,Sell,65,2022-02-19
317,1025,Sell,95,2024-03-05
318,1974,Sell,69,2024-03-25
319,285,Sell,56,2022-08-23
320,1026,Sell,86,2020-08-29
321,1393,Buy,47,2023-01-14
322,491,Buy,24,2020-01-24
323,1793,Sell,49,2023-08-07
324,353,Sell,9,2024-01-11
325,1643,Sell,9,2023-12-06
326,831,Buy,5,2020-10-27
327,974,Buy,66,2022-08-17
328,517,Buy,78,2020-02-26
329,994,Buy,89,2019-11-25
330,277,Buy,57,2020-01-06
331,1200,Sell,56,2024-04-27
332,1594,Buy,93,2023-08-31
333,941,Sell,28,2021-05-07
334,1682,Buy,60,2020-06-27
335,965,Sell,62,2019-08-21
336,1541,Buy,88,2020-11-14
337,836,Sell,61,2019-04-29
338,498,Buy,6,2021-07-06
339,1848,Buy,27,2022-11-03
340,26,Sell,64,2021-07-11
341,1422,Sell,59,2020-03-12
342,1932,Sell,30,2022-02-08
343,591,Sell,61,2021-06-12
344,746,Buy,3,2022-10-22
345,738,Buy,12,2023-05-05
346,129,Sell,1,2021-08-27
347,1574,Buy,63,2021-02-01
348,1475,Sell,92,2023-07-26
349,183,Sell,20,2022-12-26
350,926,Sell,67,2021-07-05
351,1124,Sell,19,2019-12-02
352,723,Sell,56,2020-11-22
353,1988,Buy,56,2021-03-01
354,1877,Buy,28,2021-08-18
355,1629,Sell,35,2024-03-18
356,1685,Sell,46,2019-06-28
357,1155,Buy,43,2019-06-25
358,827,Buy,77,2019-11-27
359,1008,Buy,41,2022-09-25
360,747,Sell,1,2023-11-24
361,524,Sell,14,2023-02-04
362,1409,Sell,82,2021-01-03
363,1454,Sell,18,2023-08-12
364,826,Sell,9,2023-09-17
365,678,Buy,52,2020-01-13
366,1809,Sell,76,2022-08-28
367,106,Sell,71,2023-04-14
368,1398,Sell,99,2020-08-22
369,5,Sell,67,2020-03-23
370,532,Sell,2,2019-11-17
371,535,Buy,79,2021-01-05
372,349,Buy,54,2019-05-03
373,65,Sell,24,2021-05-23
374,152,Buy,82,2020-11-28
375,1054,Buy,81,2020-11-27
376,1667,Buy,53,2024-04-13
377,931,Sell,30,2020-07-08
378,118,Sell,94,2020-03-28
379,1197,Buy,20,2020-02-15
380,399,Sell,58,2020-12-19
381,1767,Buy,5,2023-10-11
382,257,Sell,77,2021-12-11
383,149,Sell,6,2020-05-22
384,36,Sell,94,2023-07-02
385,1399,Sell,37,2023-12-11
386,1944,Sell,37,2019-10-28
387,855,Sell,22,2023-02-21
388,26,Buy,62,2020-12-21
389,326,Buy,67,2022-02-07
390,1402,Sell,21,2024-01-15
391,1036,Sell,38,2023-09-22
392,433,Sell,33,2019-09-18
393,923,Sell,25,2022-03-04
394,675,Buy,52,2021-02-01
395,1909,Sell,38,2021-07-13
396,817,Buy,31,2021-05-19
397,696,Buy,43,2020-04-12
398,1808,Sell,22,2022-06-22
399,1981,Buy,78,2023-12-29
400,433,Sell,18,2023-12-26
401,153,Buy,74,2020-07-31
402,510,Buy,97,2021-06-15
403,955,Sell,89,2021-01-21
404,1756,Buy,79,2020-06-24
405,1073,Buy,60,2022-01-25
406,869,Buy,49,2023-04-11
407,1512,Sell,52,2020-08-08
408,686,Buy,98,2019-11-23
409,916,Sell,26,2020-09-23
410,582,Buy,56,2019-11-29
411,183,Buy,34,2021-03-14
412,1659,Buy,72,2020-07-07
413,1247,Buy,25,2023-08-01
414,1724,Buy,97,2020-05-23
415,672,Buy,77,2022-11-05
416,124,Buy,20,2023-08-18
417,1230,Sell,55,2020-10-01
418,1468,Sell,15,2021-08-16
419,1008,Buy,38,2024-03-22
420,43,Sell,19,2022-10-06
421,600,Buy,77,2019-06-13
422,1888,Buy,89,2023-04-22
423,51,Sell,98,2023-06-22
424,694,Buy,23,2023-02-02
425,926,Buy,56,2019-05-30
426,801,Buy,24,2022-05-04
427,1127,Buy,5,2021-06-08
428,258,Sell,16,2021-07-10
429,1034,Buy,95,2023-06-24
430,830,Buy,45,2023-12-13
431,1609,Buy,29,2019-10-01
432,1199,Buy,51,2020-05-12
433,1118,Sell,85,2021-05-02
434,313,Buy,2,2020-06-26
435,183,Buy,2,2021-12-26
436,293,Buy,92,2021-02-06
437,1483,Buy,29,2024-03-08
438,924,Buy,10,2021-07-24
439,490,Sell,85,2021-07-20
440,1193,Buy,76,2020-07-03
441,1959,Buy,7,2019-08-06
442,743,Sell,56,2019-11-20
443,1252,Sell,61,2022-02-02
444,376,Buy,67,2019-09-08
445,485,Sell,59,2022-08-25
446,550,Sell,87,2020-05-27
447,1568,Buy,96,2019-12-14
448,1559,Sell,59,2022-03-21
449,1614,Sell,62,2022-07-05
450,1888,Sell,63,2020-02-21
451,1589,Buy,97,2022-10-09
452,558,Buy,85,2023-07-13
453,1326,Buy,29,2019-09-19
454,1244,Sell,61,2023-05-23
455,1950,Sell,74,2020-01-28
456,506,Sell,95,2021-06-18
457,1045,Buy,58,2020-02-14
458,1248,Sell,21,2023-11-06
459,1125,Buy,8,2023-02-06
460,238,Sell,74,2023-08-04
461,1438,Sell,77,2023-06-07
462,109,Buy,44,2023-01-20
463,664,Buy,84,2022-07-06
464,1845,Sell,89,2024-04-03
465,348,Buy,65,2023-01-15
466,1850,Sell,5,2020-09-09
467,879,Buy,84,2021-11-01
468,440,Buy,28,2021-11-09
469,1869,Buy,26,2022-05-05
470,662,Buy,20,2019-08-29
471,1995,Sell,95,2019-11-05
472,1057,Sell,64,2021-12-07
473,1297,Buy,30,2020-07-17
474,822,Buy,85,2021-04-11
475,1736,Buy,58,2021-10-12
476,44,Buy,84,2024-01-17
477,139,Sell,55,2020-02-27
478,251,Sell,23,2022-07-16
479,745,Sell,91,2023-10-03
480,396,Sell,47,2019-10-17
481,117,Sell,71,2020-06-09
482,51,Sell,91,2020-11-23
483,515,Sell,66,2021-06-23
484,120,Sell,62,2023-04-12
485,1542,Buy,50,2023-01-19
486,565,Buy,51,2023-09-28
487,1056,Sell,25,2019-09-14
488,1921,Sell,8,2021-03-09
489,448,Sell,70,2023-08-12
490,628,Buy,28,2021-02-22
491,546,Sell,98,2022-05-08
492,1300,Sell,20,2020-04-29
493,842,Sell,11,2020-02-07
494,942,Buy,44,2020-06-20
495,246,Buy,33,2019-12-02
496,476,Sell,12,2020-07-09
497,1838,Buy,93,2021-10-08
498,1217,Sell,22,2020-09-17
499,984,Sell,72,2021-11-19
500,1902,Buy,25,2024-01-09
501,1550,Buy,98,2022-11-20
502,1529,Buy,91,2023-10-25
503,544,Sell,91,2024-01-23
504,236,Buy,52,2023-12-13
505,1203,Buy,49,2020-09-24
506,786,Sell,10,2021-08-30
507,913,Sell,94,2021-07-27
508,214,Buy,33,2023-03-21
509,252,Sell,60,2020-11-12
510,1595,Buy,22,2022-07-08
511,599,Sell,47,2021-04-11
512,682,Sell,10,2022-11-11
513,1949,Buy,62,2022-12-08
514,521,Buy,15,2022-11-26
515,1728,Sell,21,2022-12-26
516,1114,Buy,36,2023-07-20
517,716,Buy,58,2023-10-21
518,1584,Buy,49,2023-10-03
519,696,Sell,56,2024-02-17
520,1444,Buy,86,2020-10-31
521,621,Buy,61,2021-10-15
522,382,Sell,1,2020-12-28
523,781,Buy,34,2020-08-08
524,282,Buy,5,2020-11-24
525,14,Sell,43,2020-07-12
526,1722,Sell,71,2021-11-19
527,79,Sell,21,2022-10-08
528,602,Buy,28,2021-11-15
529,1144,Buy,3,2019-08-28
530,49,Sell,11,2023-07-16
531,929,Buy,9,2020-02-02
532,1146,Buy,41,2019-09-07
533,1952,Buy,68,2023-12-04
534,714,Sell,14,2024-01-20
535,1597,Buy,98,2020-11-21
536,1781,Sell,83,2024-01-18
537,1151,Sell,74,2022-05-08
538,1992,Sell,88,2022-06-07
539,1547,Sell,79,2024-01-25
540,428,Buy,19,2021-01-11
541,571,Sell,95,2021-02-13
542,841,Sell,65,2023-02-13
543,1294,Buy,72,2021-03-26
544,550,Buy,84,2020-08-06
545,615,Buy,16,2020-03-17
546,920,Sell,38,2022-08-13
547,553,Buy,13,2022-10-03
548,1408,Buy,92,2019-12-08
549,1686,Sell,17,2019-11-13
550,104,Buy,76,2020-12-11
551,972,Buy,52,2020-09-14
552,1382,Sell,53,2023-06-30
553,966,Buy,65,2022-08-24
554,121,Sell,60,2023-08-22
555,1865,Buy,94,2019-05-09
556,1106,Sell,2,2019-05-23
557,95,Sell,15,2021-05-08
558,682,Sell,51,2022-04-27
559,999,Buy,43,2022-04-12
560,507,Buy,71,2019-07-25
561,724,Sell,29,2020-08-11
562,436,Buy,89,2019-08-15
563,1133,Buy,50,2020-06-05
564,16,Buy,65,2022-03-30
565,1822,Buy,82,2021-10-27
566,289,Buy,6,2021-05-20
567,490,Sell,5,2019-10-30
568,1150,Sell,26,2021-12-27
569,1652,Sell,23,2019-09-08
570,96,Sell,44,2021-03-28
571,272,Buy,59,2021-08-14
572,1679,Buy,29,2021-01-14
573,1616,Sell,31,2022-09-28
574,447,Buy,83,2019-10-07
575,1113,Sell,60,2022-05-22
576,1245,Sell,46,2019-09-30
577,479,Buy,19,2019-06-03
578,1853,Sell,72,2023-07-09
579,551,Buy,34,2023-02-01
580,1282,Buy,34,2019-11-21
581,1881,Sell,15,2022-11-26
582,1352,Sell,12,2022-02-06
583,711,Buy,33,2019-12-07
584,401,Sell,66,2022-01-20
585,1936,Buy,17,2021-02-22
586,1920,Sell,6,2024-01-09
587,455,Buy,54,2020-07-30
588,394,Buy,76,2022-06-05
589,195,Sell,49,2021-04-18
590,1732,Buy,49,2019-10-02
591,19,Sell,73,2021-10-31
592,1734,Buy,6,2023-02-01
593,760,Buy,69,2023-06-21
594,576,Sell,34,2022-02-02
595,75,Buy,53,2023-11-02
596,810,Buy,23,2023-03-11
597,807,Buy,59,2019-11-10
598,1310,Buy,9,2021-04-28
599,924,Buy,68,2020-08-15
600,24,Sell,4,2023-12-18
601,1754,Sell,19,2021-04-27
602,1761,Buy,20,2019-08-17
603,1798,Sell,40,2019-08-04
604,243,Sell,64,2022-08-30
605,44,Sell,94,2019-06-26
606,1232,Sell,64,2019-07-15
607,1774,Buy,50,2023-03-13
608,979,Buy,68,2019-10-15
609,531,Sell,66,2024-02-08
610,587,Buy,18,2022-04-07
611,898,Buy,3,2020-05-23
612,236,Buy,94,2022-12-12
613,1343,Buy,72,2022-07-28
614,909,Buy,94,2019-07-25
615,513,Sell,67,2021-07-31
616,1088,Buy,97,2021-05-30
617,656,Sell,63,2023-02-12
618,113,Buy,43,2023-07-10
619,681,Buy,96,2023-09-02
620,969,Sell,20,2024-02-03
621,1658,Buy,90,2023-11-15
622,801,Buy,7,2020-02-17
623,1557,Buy,54,2020-04-20
624,421,Sell,55,2021-09-10
625,1159,Sell,1,2020-09-20
626,222,Sell,30,2022-06-04
627,1171,Sell,72,2023-01-12
628,581,Sell,21,2019-12-11
629,613,Buy,16,2021-10-06
630,992,Sell,2,2023-07-12
631,140,Sell,34,2019-06-01
632,1843,Buy,43,2022-06-18
633,1320,Buy,91,2020-04-23
634,1007,Sell,73,2024-04-11
635,991,Buy,6,2020-11-03
636,1523,Buy,60,2020-02-03
637,1657,Sell,70,2020-11-24
638,1619,Buy,26,2021-09-22
639,1556,Sell,58,2021-04-01
640,1934,Buy,75,2022-12-11
641,1577,Sell,20,2019-06-05
642,47,Sell,3,2022-05-23
643,704,Buy,93,2021-08-25
644,178,Sell,18,2020-05-29
645,1344,Buy,33,2023-08-26
646,1149,Sell,23,2021-09-01
647,1955,Sell,71,2020-02-28
648,463,Buy,50,2024-01-01
649,907,Sell,41,2021-04-28
650,886,Sell,59,2022-09-08
651,1612,Sell,29,2020-10-24
652,243,Sell,29,2023-11-08
653,375,Sell,4,2022-06-05
654,1774,Buy,95,2021-01-30
655,978,Buy,21,2022-09-09
656,563,Buy,28,2022-08-16
657,720,Sell,62,2020-08-02
658,334,Sell,57,2020-04-07
659,20,Buy,83,2021-09-26
660,1927,Sell,4,2019-05-12
661,208,Sell,37,2021-02-26
662,380,Sell,1,2021-05-16
663,1345,Sell,27,2021-01-28
664,243,Buy,22,2020-09-23
665,666,Sell,24,2023-03-13
666,1420,Buy,26,2022-08-19
667,473,Sell,19,2023-06-14
668,418,Buy,95,2020-10-25
669,1466,Buy,4,2021-09-30
670,1651,Sell,18,2019-05-24
671,120,Buy,47,2019-12-05
672,1072,Sell,72,2020-07-01
673,162,Sell,29,2023-02-09
674,1297,Buy,86,2022-05-04
675,144,Buy,76,2024-02-14
676,453,Buy,61,2022-01-15
677,1020,Buy,53,2021-06-21
678,408,Buy,85,2021-01-16
679,267,Sell,57,2020-06-03
680,597,Sell,68,2024-02-17
681,794,Buy,71,2023-09-25
682,1821,Buy,71,2020-01-05
683,757,Buy,99,2021-05-11
684,85,Sell,57,2020-03-21
685,1222,Sell,79,2022-02-17
686,1457,Sell,28,2021-10-01
687,799,Sell,18,2022-09-18
688,1212,Sell,58,2020-09-14
689,813,Sell,13,2019-07-10
690,829,Buy,82,2023-06-07
691,354,Buy,88,2024-01-28
692,1894,Sell,93,2023-11-12
693,1725,Buy,80,2023-04-14
694,1474,Sell,93,2019-09-14
695,56,Buy,23,2024-01-19
696,17,Buy,26,2023-08-16
697,1321,Sell,81,2021-08-13
698,1615,Sell,49,2024-01-11
699,273,Buy,49,2022-08-06
700,89,Buy,34,2023-06-11
701,1472,Sell,17,2020-11-24
702,1231,Sell,71,2024-04-06
703,1371,Sell,91,2021-01-20
704,1867,Sell,94,2020-05-30
705,1862,Sell,29,2021-02-23
706,546,Buy,76,2021-08-24
707,1857,Sell,44,2022-01-13
708,1379,Buy,50,2019-08-03
709,1786,Sell,57,2019-08-02
710,1122,Sell,18,2020-03-03
711,340,Sell,91,2023-04-17
712,960,Buy,86,2022-07-21
713,1812,Sell,37,2024-03-23
714,1415,Buy,48,2024-01-25
715,1883,Buy,20,2021-10-09
716,904,Sell,56,2019-12-14
717,2,Sell,2,2023-04-18
718,266,Buy,79,2022-07-27
719,1495,Sell,76,2022-11-16
720,518,Sell,86,2023-09-10
721,1572,Sell,95,2023-10-27
722,533,Sell,2,2023-10-27
723,72,Buy,99,2022-04-01
724,1127,Sell,10,2020-11-30
725,264,Sell,69,2020-06-25
726,1445,Sell,23,2019-05-25
727,1776,Sell,52,2019-05-09
728,1283,Sell,52,2023-03-14
729,71,Buy,32,2021-06-15
730,1389,Buy,10,2019-10-08
731,548,Sell,68,2021-09-01
732,322,Buy,61,2021-02-24
733,954,Buy,92,2024-01-21
734,216,Buy,86,2023-01-25
735,1372,Sell,32,2022-07-01
736,1617,Sell,12,2020-09-07
737,1892,Buy,80,2023-04-30
738,1046,Buy,57,2020-07-14
739,1491,Buy,79,2022-06-08
740,1353,Sell,61,2020-11-23
741,1281,Buy,92,2024-04-15
742,904,Sell,96,2023-08-05
743,1757,Sell,99,2021-10-31
744,381,Buy,39,2024-02-24
745,1445,Buy,13,2021-12-03
746,1108,Buy,24,2020-01-20
747,823,Buy,51,2021-04-26
748,1343,Sell,64,2021-12-01
749,951,Buy,85,2020-08-04
750,1294,Sell,58,2020-10-04
751,1893,Sell,25,2022-11-27
752,1319,Buy,30,2019-08-24
753,1625,Buy,50,2021-12-28
754,1228,Buy,75,2022-10-16
755,339,Sell,62,2022-10-27
756,733,Buy,19,2021-04-25
757,862,Buy,74,2020-04-08
758,1099,Sell,1,2020-07-21
759,1314,Sell,1,2023-04-04
760,1573,Buy,28,2019-07-01
761,1805,Sell,92,2020-08-06
762,1954,Sell,21,2023-02-05
763,1795,Buy,80,2021-01-08
764,1232,Sell,58,2021-05-19
765,297,Buy,87,2023-09-23
766,778,Buy,83,2023-01-25
767,546,Sell,44,2023-12-10
768,1649,Buy,69,2022-08-25
769,812,Sell,10,2020-02-05
770,1355,Sell,71,2021-10-10
771,1676,Buy,30,2022-11-21
772,1706,Buy,56,2023-07-20
773,1513,Buy,17,2022-11-24
774,1797,Sell,64,2023-09-25
775,959,Sell,55,2020-08-21
776,1744,Sell,69,2020-03-31
777,1739,Buy,2,2019-06-26
778,112,Sell,98,2019-09-09
779,1089,Buy,4,2020-05-16
780,822,Sell,45,2023-08-31
781,1352,Sell,30,2019-12-02
782,1991,Sell,69,2022-05-09
783,908,Sell,24,2022-04-01
784,1650,Sell,8,2022-12-16
785,1893,Buy,66,2020-02-25
786,1026,Buy,64,2021-01-19
787,187,Buy,87,2020-02-10
788,1460,Buy,14,2020-11-23
789,1813,Buy,63,2022-12-01
790,921,Buy,54,2021-08-03
791,1819,Sell,18,2022-04-01
792,1190,Buy,21,2020-07-04
793,755,Buy,30,2022-04-14
794,1772,Buy,12,2022-07-30
795,945,Buy,80,2021-08-18
796,1281,Buy,66,2021-07-23
797,690,Sell,48,2019-05-27
